Usage ID,,Usage Name,Scancode (Set 1),,diff,Key,,,,,
dec,hex,,MS Ref.,hid.dll,,ANSI,,ISO (typical),,JIS,
91,5B,Keypad 3 and PageDn,51,51,,KP-3,PgDn,KP-3,PgDn,KP-3,PgDn
92,5C,Keypad 4 and Left Arrow,4B,4B,,KP-4,Left,KP-4,Left,KP-4,Left
93,5D,Keypad 5,4C,4C,,KP-5,,KP-5,,KP-5,
94,5E,Keypad 6 and Right Arrow,4D,4D,,KP-6,Right,KP-6,Right,KP-6,Right
95,5F,Keypad 7 and Home,47,47,,KP-7,Home,KP-7,Home,KP-7,Home
96,60,Keypad 8 and Up Arrow,48,48,,KP-8,Up,KP-8,Up,KP-8,Up
97,61,Keypad 9 and PageUp,49,49,,KP-9,PgUp,KP-9,PgUp,KP-9,PgUp
98,62,Keypad 0 and Insert,52,52,,KP-0,Insert,KP-0,Insert,KP-0,Insert
99,63,Keypad . and Delete,53,53,,KP-.,Delete,KP-.,Delete,KP-.,Delete
100,64,Keyboard Non-US \ and |,56,56,,NA,,\,|,NA,
101,65,Keyboard Application,E0 5D,E0 5D,,App,,App,,App,
102,66,Keyboard Power,E0 5E,E0 5E,,Power,,Power,,Power,
103,67,Keypad =,59,59,,NA,,NA,,NA,
104,68,Keyboard F13,64,64,,NA,,NA,,NA,
105,69,Keyboard F14,65,65,,NA,,NA,,NA,
106,6A,Keyboard F15,66,66,,NA,,NA,,NA,
107,6B,Keyboard F16,67,67,,NA,,NA,,NA,
108,6C,Keyboard F17,68,68,,NA,,NA,,NA,
109,6D,Keyboard F18,69,69,,NA,,NA,,NA,
110,6E,Keyboard F19,6A,6A,,NA,,NA,,NA,
111,6F,Keyboard F20,6B,6B,,NA,,NA,,NA,
112,70,Keyboard F21,6C,6C,,NA,,NA,,NA,
113,71,Keyboard F22,6D,6D,,NA,,NA,,NA,
114,72,Keyboard F23,6E,6E,,NA,,NA,,NA,
115,73,Keyboard F24,76,76,,NA,,NA,,NA,
116,74,Keyboard Execute,UNASSIGNED,FF,,NA,,NA,,NA,
117,75,Keyboard Help,UNASSIGNED,FF,,NA,,NA,,NA,
118,76,Keyboard Menu,UNASSIGNED,FF,,NA,,NA,,NA,
119,77,Keyboard Select,UNASSIGNED,FF,,NA,,NA,,NA,
120,78,Keyboard Stop,UNASSIGNED,FF,,NA,,NA,,NA,
121,79,Keyboard Again,UNASSIGNED,FF,,NA,,NA,,NA,
122,7A,Keyboard Undo,UNASSIGNED,FF,,NA,,NA,,NA,
123,7B,Keyboard Cut,UNASSIGNED,FF,,NA,,NA,,NA,
124,7C,Keyboard Copy,UNASSIGNED,FF,,NA,,NA,,NA,
125,7D,Keyboard Paste,UNASSIGNED,FF,,NA,,NA,,NA,
126,7E,Keyboard Find,UNASSIGNED,FF,,NA,,NA,,NA,
127,7F,Keyboard Mute,UNASSIGNED,FF,,NA,,NA,,NA,
128,80,Keyboard Volume Up,UNASSIGNED,FF,,NA,,NA,,NA,
129,81,Keyboard Volume Down,UNASSIGNED,FF,,NA,,NA,,NA,
130,82,Keyboard Locking Caps Lock,UNASSIGNED,FF,,NA,,NA,,NA,
131,83,Keyboard Locking Numb Lock,UNASSIGNED,FF,,NA,,NA,,NA,
132,84,Keyboard Locking Scroll Lock,UNASSIGNED,FF,,NA,,NA,,NA,
133,85,Keypad Comma,7E,7E,,NA,,NA,,NA,
134,86,Keypad Equal Sign,UNASSIGNED,FF,,NA,,NA,,NA,
135,87,Keyboard International1,73,73,,NA,,NA,,\,_
136,88,Keyboard International2,70,70,,NA,,NA,,Hira / Kana,
137,89,Keyboard International3,7D,7D,,NA,,NA,,\,|
138,8A,Keyboard International4,79,79,,NA,,NA,,Convert,
139,8B,Keyboard International5,7B,7B,,NA,,NA,,NonConvert,
140,8C,Keyboard International6,5C,5C,,NA,,NA,,NA,
141,8D,Keyboard International7,UNASSIGNED,FF,,NA,,NA,,NA,
142,8E,Keyboard International8,UNASSIGNED,FF,,NA,,NA,,NA,
143,8F,Keyboard International9,UNASSIGNED,FF,,NA,,NA,,NA,
144,90,Keyboard LANG1,F2,F2,,NA,,NA,,Kana (macOS),
145,91,Keyboard LANG2,F1,F2 01,?,NA,,NA,,Eisu (macOS),
146,92,Keyboard LANG3,78,78,,NA,,NA,,NA,
147,93,Keyboard LANG4,77,77,,NA,,NA,,NA,
148,94,Keyboard LANG5,76,76,,NA,,NA,,NA,
149,95,Keyboard LANG6,UNASSIGNED,FF,,NA,,NA,,NA,
150,96,Keyboard LANG7,UNASSIGNED,FF,,NA,,NA,,NA,
151,97,Keyboard LANG8,UNASSIGNED,FF,,NA,,NA,,NA,
152,98,Keyboard LANG9,UNASSIGNED,FF,,NA,,NA,,NA,
153,99,Keyboard Alternate Erase,UNASSIGNED,FF,,NA,,NA,,NA,
154,9A,Keyboard SysReq/Attention,UNASSIGNED,FF,,NA,,NA,,NA,
155,9B,Keyboard Cancel,UNASSIGNED,FF,,NA,,NA,,NA,
156,9C,Keyboard Clear,UNASSIGNED,FF,,NA,,NA,,NA,
157,9D,Keyboard Prior,UNASSIGNED,FF,,NA,,NA,,NA,
158,9E,Keyboard Return,UNASSIGNED,FF,,NA,,NA,,NA,
159,9F,Keyboard Separator,UNASSIGNED,FF,,NA,,NA,,NA,
160,A0,Keyboard Out,UNASSIGNED,FF,,NA,,NA,,NA,
161,A1,Keyboard Oper,UNASSIGNED,FF,,NA,,NA,,NA,
162,A2,Keyboard Clear/Again,UNASSIGNED,FF,,NA,,NA,,NA,
163,A3,Keyboard CrSel/Props,UNASSIGNED,FF,,NA,,NA,,NA,
164,A4,Keyboard ExSel,UNASSIGNED,FF,,NA,,NA,,NA,
165,A5,Reserved,RESERVED,FF,,NA,,NA,,NA,
166,A6,Reserved,RESERVED,FF,,NA,,NA,,NA,
167,A7,Reserved,RESERVED,FF,,NA,,NA,,NA,
168,A8,Reserved,RESERVED,FF,,NA,,NA,,NA,
169,A9,Reserved,RESERVED,FF,,NA,,NA,,NA,
170,AA,Reserved,RESERVED,FF,,NA,,NA,,NA,
171,AB,Reserved,RESERVED,FF,,NA,,NA,,NA,
172,AC,Reserved,RESERVED,FF,,NA,,NA,,NA,
173,AD,Reserved,RESERVED,FF,,NA,,NA,,NA,
174,AE,Reserved,RESERVED,FF,,NA,,NA,,NA,
175,AF,Reserved,RESERVED,FF,,NA,,NA,,NA,
176,B0,Keypad 00,RESERVED,FF,,NA,,NA,,NA,
177,B1,Keypad 000,RESERVED,FF,,NA,,NA,,NA,
178,B2,Thousands Separator,RESERVED,FF,,NA,,NA,,NA,
179,B3,Decimal Separator,RESERVED,FF,,NA,,NA,,NA,
180,B4,Currency Unit,RESERVED,FF,,NA,,NA,,NA,
181,B5,Currency Sub-unit,RESERVED,FF,,NA,,NA,,NA,
182,B6,Keypad (,RESERVED,FF,,NA,,NA,,NA,
183,B7,Keypad ),RESERVED,FF,,NA,,NA,,NA,
184,B8,Keypad {,RESERVED,FF,,NA,,NA,,NA,
185,B9,Keypad },RESERVED,FF,,NA,,NA,,NA,
186,BA,Keypad Tab,RESERVED,FF,,NA,,NA,,NA,
187,BB,Keypad Backspace,RESERVED,FF,,NA,,NA,,NA,
188,BC,Keypad A,RESERVED,FF,,NA,,NA,,NA,
189,BD,Keypad B,RESERVED,FF,,NA,,NA,,NA,
190,BE,Keypad C,RESERVED,FF,,NA,,NA,,NA,
191,BF,Keypad D,RESERVED,FF,,NA,,NA,,NA,
192,C0,Keypad E,RESERVED,FF,,NA,,NA,,NA,
193,C1,Keypad F,RESERVED,FF,,NA,,NA,,NA,
194,C2,Keypad XOR,RESERVED,FF,,NA,,NA,,NA,
195,C3,Keypad ^,RESERVED,FF,,NA,,NA,,NA,
196,C4,Keypad %,RESERVED,FF,,NA,,NA,,NA,
197,C5,Keypad <,RESERVED,FF,,NA,,NA,,NA,
198,C6,Keypad >,RESERVED,FF,,NA,,NA,,NA,
199,C7,Keypad &,RESERVED,FF,,NA,,NA,,NA,
200,C8,Keypad &&,RESERVED,FF,,NA,,NA,,NA,
201,C9,Keypad |,RESERVED,FF,,NA,,NA,,NA,
202,CA,Keypad ||,RESERVED,FF,,NA,,NA,,NA,
203,CB,Keypad :,RESERVED,FF,,NA,,NA,,NA,
204,CC,Keypad #,RESERVED,FF,,NA,,NA,,NA,
205,CD,Keypad Space,RESERVED,FF,,NA,,NA,,NA,
206,CE,Keypad @,RESERVED,FF,,NA,,NA,,NA,
207,CF,Keypad !,RESERVED,FF,,NA,,NA,,NA,
208,D0,Keypad Memory Store,RESERVED,FF,,NA,,NA,,NA,
209,D1,Keypad Memory Recall,RESERVED,FF,,NA,,NA,,NA,
210,D2,Keypad Memory Clear,RESERVED,FF,,NA,,NA,,NA,
211,D3,Keypad Memory Add,RESERVED,FF,,NA,,NA,,NA,
212,D4,Keypad Memory Subtract,RESERVED,FF,,NA,,NA,,NA,
213,D5,Keypad Memory Multiply,RESERVED,FF,,NA,,NA,,NA,
214,D6,Keypad Memory Divide,RESERVED,FF,,NA,,NA,,NA,
215,D7,Keypad +/-,RESERVED,FF,,NA,,NA,,NA,
216,D8,Keypad Clear,RESERVED,FF,,NA,,NA,,NA,
217,D9,Keypad Clear Entry,RESERVED,FF,,NA,,NA,,NA,
218,DA,Keypad Binary,RESERVED,FF,,NA,,NA,,NA,
219,DB,Keypad Octal,RESERVED,FF,,NA,,NA,,NA,
220,DC,Keypad Decimal,RESERVED,FF,,NA,,NA,,NA,
221,DD,Keypad Hexadecimal,RESERVED,FF,,NA,,NA,,NA,
222,DE,Reserved,RESERVED,FF,,NA,,NA,,NA,
223,DF,Reserved,RESERVED,FF,,NA,,NA,,NA,
224,E0,Keyboard LeftControl,1D,F1,?,LCtrl,,LCtrl,,LCtrl,
225,E1,Keyboard LeftShift,2A,F1 01,?,LShift,,LShift,,LShift,
226,E2,Keyboard LeftAlt,38,F1 02,?,LAlt,,LAlt,,LAlt,
227,E3,Keyboard Left GUI,E0 5B,F1 03,?,LWin,,LWin,,LWin,
228,E4,Keyboard RightControl,E0 1D,F1 04,?,RCtrl,,RCtrl,,RCtrl,
229,E5,Keyboard RightShift,36,F1 05,?,RShift,,RShift,,RShift,
230,E6,Keyboard RightAlt,E0 38,F1 06,?,RAlt,,RAlt,,RAlt,
231,E7,Keyboard Right GUI,E0 5C,F1 07,?,RWin,,RWin,,RWin,
